date,product,category,region,sales_amount,quantity
2024-01-15,Laptop HP,Electrónicos,Norte,1200.00,1
2024-01-16,Mouse Inalámbrico,Accesorios,Sur,25.99,3
2024-01-17,Teclado Mecánico,Accesorios,Centro,89.50,2
2024-01-18,Monitor 24",Electrónicos,Norte,299.99,1
2024-01-19,Tablet Samsung,Electrónicos,Este,450.00,1
2024-01-20,Auriculares Bluetooth,Accesorios,Sur,79.99,4
2024-01-21,Laptop Dell,Electrónicos,Centro,1350.00,1
2024-01-22,Webcam HD,Accesorios,Norte,120.00,2
2024-01-23,Smartphone iPhone,Electrónicos,Este,999.00,1
2024-01-24,Cargador Universal,Accesorios,Sur,15.99,5
2024-02-01,Laptop HP,Electrónicos,Norte,1200.00,2
2024-02-02,Monitor 27",Electrónicos,Centro,399.99,1
2024-02-03,Tablet iPad,Electrónicos,Este,599.00,1
2024-02-04,Teclado Inalámbrico,Accesorios,Norte,65.00,3
2024-02-05,Mouse Gaming,Accesorios,Sur,45.99,2
2024-02-06,Laptop Lenovo,Electrónicos,Centro,1100.00,1
2024-02-07,Auriculares Gaming,Accesorios,Este,129.99,1
2024-02-08,Smartphone Samsung,Electrónicos,Norte,750.00,1
2024-02-09,Disco Duro Externo,Almacenamiento,Sur,89.99,3
2024-02-10,Memoria USB,Almacenamiento,Centro,12.99,10
2024-03-01,Laptop ASUS,Electrónicos,Norte,1250.00,1
2024-03-02,Monitor Gaming,Electrónicos,Este,549.99,1
2024-03-03,Tablet Android,Electrónicos,Sur,299.00,2
2024-03-04,Altavoces Bluetooth,Accesorios,Centro,85.99,1
2024-03-05,Router WiFi,Redes,Norte,129.99,1
2024-03-06,Smartphone Xiaomi,Electrónicos,Este,399.00,1
2024-03-07,Laptop MacBook,Electrónicos,Centro,1999.00,1
2024-03-08,Webcam 4K,Accesorios,Sur,199.99,1
2024-03-09,SSD 1TB,Almacenamiento,Norte,149.99,2
2024-03-10,Cable HDMI,Accesorios,Este,19.99,5
2024-04-01,Monitor Ultrawide,Electrónicos,Centro,699.99,1
2024-04-02,Laptop Gaming,Electrónicos,Norte,1850.00,1
2024-04-03,Tablet Pro,Electrónicos,Este,799.00,1
2024-04-04,Auriculares Profesionales,Accesorios,Sur,249.99,1
2024-04-05,Switch Ethernet,Redes,Centro,79.99,2
2024-04-06,Smartphone Premium,Electrónicos,Norte,1199.00,1
2024-04-07,Impresora Multifunción,Oficina,Este,189.99,1
2024-04-08,Escáner Portátil,Oficina,Sur,99.99,1
2024-04-09,Proyector HD,Electrónicos,Centro,449.99,1
2024-04-10,Mesa Gamer,Muebles,Norte,299.99,1 
